AWS Service,Resource,Alert Name,Metric,Severity,Threshold,Evaluation Interval,Pending Duration,Dimensions,Deployment Action,Validation Status,Notes
ECS,beta-api,alerts-ecs-cpu-critical-batch3-app-beta-beta-api,CPUUtilization,critical,gt 85.0,5m,2m,ClusterName=app-beta;ServiceName=beta-api,create,passed,
ECS,beta-worker,alerts-ecs-cpu-critical-batch3-app-beta-beta-worker,CPUUtilization,critical,gt 85.0,5m,2m,ClusterName=app-beta;ServiceName=beta-worker,create,passed,
ECS,alpha-api,alerts-ecs-memory-warning-batch3-app-alpha-alpha-api,MemoryUtilization,warning,gt 70.0,5m,3m,ClusterName=app-alpha;ServiceName=alpha-api,create,passed,
ECS,alpha-worker,alerts-ecs-memory-warning-batch3-app-alpha-alpha-worker,MemoryUtilization,warning,gt 70.0,5m,3m,ClusterName=app-alpha;ServiceName=alpha-worker,create,passed,
ECS,beta-api,alerts-ecs-memory-warning-batch3-app-beta-beta-api,MemoryUtilization,warning,gt 70.0,5m,3m,ClusterName=app-beta;ServiceName=beta-api,create,passed,
ECS,beta-worker,alerts-ecs-memory-warning-batch3-app-beta-beta-worker,MemoryUtilization,warning,gt 70.0,5m,3m,ClusterName=app-beta;ServiceName=beta-worker,create,passed,
ECS,alpha-api,alerts-ecs-memory-critical-batch3-app-alpha-alpha-api,MemoryUtilization,critical,gt 85.0,5m,2m,ClusterName=app-alpha;ServiceName=alpha-api,create,passed,
ECS,alpha-worker,alerts-ecs-memory-critical-batch3-app-alpha-alpha-worker,MemoryUtilization,critical,gt 85.0,5m,2m,ClusterName=app-alpha;ServiceName=alpha-worker,create,passed,
ECS,beta-api,alerts-ecs-memory-critical-batch3-app-beta-beta-api,MemoryUtilization,critical,gt 85.0,5m,2m,ClusterName=app-beta;ServiceName=beta-api,create,passed,
ECS,beta-worker,alerts-ecs-memory-critical-batch3-app-beta-beta-worker,MemoryUtilization,critical,gt 85.0,5m,2m,ClusterName=app-beta;ServiceName=beta-worker,create,passed,
RDS,db-primary-writer,alerts-rds-cpu-warning-db-primary-writer,CPUUtilization,warning,gt 70.0,5m,3m,DBInstanceIdentifier=db-primary-writer,create,passed,
RDS,db-auth,alerts-rds-cpu-warning-db-auth,CPUUtilization,warning,gt 70.0,5m,3m,DBInstanceIdentifier=db-auth,create,passed,
RDS,db-primary-writer,alerts-rds-cpu-critical-db-primary-writer,CPUUtilization,critical,gt 90.0,5m,2m,DBInstanceIdentifier=db-primary-writer,create,passed,
RDS,db-auth,alerts-rds-cpu-critical-db-auth,CPUUtilization,critical,gt 90.0,5m,2m,DBInstanceIdentifier=db-auth,create,passed,
RDS,db-primary-writer,alerts-rds-freeable-memory-warning-db-primary-writer,FreeableMemory,warning,lt 3435973836.8,5m,3m,DBInstanceIdentifier=db-primary-writer,create,passed,
RDS,db-auth,alerts-rds-freeable-memory-warning-db-auth,FreeableMemory,warning,lt 858993459.2,5m,3m,DBInstanceIdentifier=db-auth,create,passed,
RDS,db-primary-writer,alerts-rds-freeable-memory-critical-db-primary-writer,FreeableMemory,critical,lt 1717986918.4,5m,2m,DBInstanceIdentifier=db-primary-writer,create,passed,
RDS,db-auth,alerts-rds-freeable-memory-critical-db-auth,FreeableMemory,critical,lt 429496729.6,5m,2m,DBInstanceIdentifier=db-auth,create,passed,
RDS,db-primary-writer,alerts-rds-connections-warning-db-primary-writer,DatabaseConnections,warning,gt 100.0,5m,3m,DBInstanceIdentifier=db-primary-writer,create,passed,
RDS,db-auth,alerts-rds-connections-warning-db-auth,DatabaseConnections,warning,gt 100.0,5m,3m,DBInstanceIdentifier=db-auth,create,passed,
RDS,db-primary-writer,alerts-rds-connections-critical-db-primary-writer,DatabaseConnections,critical,gt 200.0,5m,2m,DBInstanceIdentifier=db-primary-writer,create,passed,
RDS,db-auth,alerts-rds-connections-critical-db-auth,DatabaseConnections,critical,gt 200.0,5m,2m,DBInstanceIdentifier=db-auth,create,passed,
Redis,cache-alpha-001,alerts-redis-cpu-critical-cache-alpha-001,CPUUtilization,critical,gt 90.0,5m,2m,CacheClusterId=cache-alpha-001,create,passed,
Redis,cache-beta-001,alerts-redis-cpu-critical-cache-beta-001,CPUUtilization,critical,gt 90.0,5m,2m,CacheClusterId=cache-beta-001,create,passed,
Redis,cache-alpha-001,alerts-redis-engine-cpu-critical-cache-alpha-001,EngineCPUUtilization,critical,gt 90.0,5m,2m,CacheClusterId=cache-alpha-001,create,passed,
Redis,cache-beta-001,alerts-redis-engine-cpu-critical-cache-beta-001,EngineCPUUtilization,critical,gt 90.0,5m,2m,CacheClusterId=cache-beta-001,create,passed,
Redis,cache-alpha-001,alerts-redis-memory-warning-cache-alpha-001,DatabaseMemoryUsagePercentage,warning,gt 80.0,5m,3m,CacheClusterId=cache-alpha-001,create,passed,
Redis,cache-beta-001,alerts-redis-memory-warning-cache-beta-001,DatabaseMemoryUsagePercentage,warning,gt 80.0,5m,3m,CacheClusterId=cache-beta-001,create,passed,
Redis,cache-alpha-001,alerts-redis-memory-critical-cache-alpha-001,DatabaseMemoryUsagePercentage,critical,gt 85.0,5m,2m,CacheClusterId=cache-alpha-001,create,passed,
Redis,cache-beta-001,alerts-redis-memory-critical-cache-beta-001,DatabaseMemoryUsagePercentage,critical,gt 85.0,5m,2m,CacheClusterId=cache-beta-001,create,passed,
Redis,cache-alpha-001,alerts-redis-evictions-warning-cache-alpha-001,Evictions,warning,gt 1.0,5m,3m,CacheClusterId=cache-alpha-001,create,passed,
Redis,cache-beta-001,alerts-redis-evictions-warning-cache-beta-001,Evictions,warning,gt 1.0,5m,3m,CacheClusterId=cache-beta-001,create,passed,
RabbitMQ,mq-main,alerts-mq-cpu-warning-mq-main,SystemCpuUtilization,warning,gt 70.0,5m,3m,Broker=mq-main,create,passed,
RabbitMQ,mq-main,alerts-mq-cpu-critical-mq-main,SystemCpuUtilization,critical,gt 85.0,5m,2m,Broker=mq-main,create,passed,
RabbitMQ,mq-main,alerts-mq-connections-warning-mq-main,ConnectionCount,warning,gt 500.0,5m,3m,Broker=mq-main,create,passed,
RabbitMQ,mq-main,alerts-mq-connections-critical-mq-main,ConnectionCount,critical,gt 1000.0,5m,2m,Broker=mq-main,create,passed,
RabbitMQ,mq-main,alerts-mq-memory-warning-mq-main,RabbitMQMemUsed,warning,gt 70.0,5m,3m,Broker=mq-main,create,passed,
RabbitMQ,mq-main,alerts-mq-memory-critical-mq-main,RabbitMQMemUsed,critical,gt 85.0,5m,2m,Broker=mq-main,create,passed,
